RCH,AREAkm2,FLOW_OUTcms,NH4_OUTkg,NO3_OUTkg,NO2_OUTkg,ORGN_OUTkg,总氮负荷,系数1,总氮浓度,体积,Cs,K,环境容量1,系数2,环境容量2,环境容量3,系数4,环境容量4,系数5,环境容量
141,5.10E+02,8.24 ,80220.00 ,1.43E+04,1.34E+04,5.13E+05,6.21E+05,0.0000317098 ,2.388 ,298518.303548329,1,0.05,-11.4421704718417,86400,0.172753647886764,-11.2694168239549,86.4,-973.677613589708,0.365,-355.392328960243
142,9.30E+02,19.50 ,128800.00 ,3.03E+04,2.09E+04,1.45E+06,1.63E+06,0.0000317098 ,2.654 ,683311.093463449,1,0.05,-32.250063419584,86400,0.395434660569126,-31.8546287590149,86.4,-2752.23992477888,0.365,-1004.56757254429
143,2.39E+02,4.99 ,24170.00 ,7.78E+03,6.26E+03,3.79E+05,4.17E+05,0.0000317098 ,2.653 ,849516.272383968,1,0.05,-8.23826864535769,86400,0.491618213185167,-7.74665043217253,86.4,-669.310597339706,0.365,-244.298368028993
144,2.19E+04,424.50 ,11250000.00 ,5.29E+06,4.29E+06,2.12E+07,4.20E+07,0.0000317098 ,3.138 ,36277987.4689317,1,0.05,-907.596651445967,86400,20.9942057111873,-886.60244573478,86.4,-76602.451311485,0.365,-27959.894728692
145,1.17E+02,1.96 ,1326.00 ,2.80E+03,1.79E-02,1.61E+05,1.65E+05,0.0000317098 ,2.668 ,83950.2253681672,1,0.05,-3.26552289129884,86400,0.048582306347319,-3.21694058495152,86.4,-277.943666539811,0.365,-101.449438287031
146,2.21E+04,428.30 ,11220000.00 ,5.40E+06,4.30E+06,2.14E+07,4.23E+07,0.0000317098 ,3.135 ,17856407.5241395,1,0.05,-914.324302384577,86400,10.3335691690622,-903.990733215515,86.4,-78104.7993498205,0.365,-28508.2517626845
147,4.03E+02,6.47 ,41570.00 ,1.11E+04,1.10E+04,3.63E+05,4.26E+05,0.0000317098 ,2.090 ,1163339.74113221,1,0.05,-7.04766463723998,86400,0.673229016858918,-6.37443562038107,86.4,-550.751237600924,0.365,-201.024201724337
148,1.94E+02,2.94 ,13000.00 ,3.84E+03,3.07E+03,2.03E+05,2.22E+05,0.0000317098 ,2.398 ,525455.8224468,1,0.05,-4.1115431253171,86400,0.304083230582639,-3.80745989473446,86.4,-328.964534905058,0.365,-120.072055240346
149,1.02E+02,1.74 ,20280.00 ,2.33E+03,1.21E+03,7.56E+04,9.94E+04,0.0000317098 ,1.813 ,27835.0149019949,1,0.05,-1.41316057838661,86400,0.0161082262164322,-1.39705235217017,86.4,-120.705323227503,0.365,-44.0574429780386
150,1.10E+02,1.85 ,19390.00 ,2.81E+03,1.99E+03,1.37E+05,1.61E+05,0.0000317098 ,2.772 ,67077.5883863896,1,0.05,-3.26928209030949,86400,0.0388180488347162,-3.23046404147477,86.4,-279.11209318342,0.365,-101.875914011948
151,2.23E+04,432.00 ,11060000.00 ,5.80E+06,4.37E+06,2.14E+07,4.26E+07,0.0000317098 ,3.126 ,49731014.2227214,1,0.05,-918.520040588534,86400,28.7795221196304,-889.740518468904,86.4,-76873.5807957133,0.365,-28058.8569904354
152,1.34E+02,2.51 ,17310.00 ,3.62E+03,2.06E+03,2.40E+05,2.63E+05,0.0000317098 ,3.330 ,154528.265601455,1,0.05,-5.83963673262304,86400,0.0894260796304717,-5.75021065299257,86.4,-496.818200418558,0.365,-181.338643152774
153,2.25E+04,434.50 ,11090000.00 ,5.81E+06,4.37E+06,2.16E+07,4.29E+07,0.0000317098 ,3.128 ,2641047.72064478,1,0.05,-924.803652968037,86400,1.52838409759536,-923.275268870442,86.4,-79770.9832304062,0.365,-29116.4088790983
154,2.28E+04,439.30 ,10960000.00 ,6.21E+06,4.42E+06,2.17E+07,4.32E+07,0.0000317098 ,3.121 ,46606440.7277552,1,0.05,-931.894824961949,86400,26.9713198655991,-904.92350509635,86.4,-78185.3908403246,0.365,-28537.6676567185
155,2.29E+04,441.30 ,11050000.00 ,6.21E+06,4.42E+06,2.18E+07,4.35E+07,0.0000317098 ,3.123 ,1858590.58624154,1,0.05,-936.80755961441,86400,1.07557325592682,-935.731986358483,86.4,-80847.2436213729,0.365,-29509.2439218011
156,1.02E+02,1.97 ,38020.00 ,2.58E+03,1.66E+03,1.25E+05,1.67E+05,0.0000317098 ,2.693 ,18678.480115313,1,0.05,-3.32603247082699,86400,0.0108093056222876,-3.31522316520471,86.4,-286.435281473687,0.365,-104.548877737896
157,1.39E+03,28.53 ,945700.00 ,8.58E+04,1.48E+05,2.06E+06,3.24E+06,0.0000317098 ,3.604 ,6540759.32509987,1,0.05,-74.2874150177575,86400,3.78516164646983,-70.5022533712877,86.4,-6091.39469127926,0.365,-2223.35906231693
158,2.45E+04,473.60 ,13480000.00 ,6.64E+06,4.64E+06,2.38E+07,4.86E+07,0.0000317098 ,3.252 ,41402555.1386648,1,0.05,-1066.6397260274,86400,23.9598120015421,-1042.67991402586,86.4,-90087.544571834,0.365,-32881.9537687194
159,1.92E+02,3.25 ,25050.00 ,4.51E+03,6.46E+03,2.33E+05,2.69E+05,0.0000317098 ,2.622 ,388060.238359771,1,0.05,-5.27319457128362,86400,0.224571897198942,-5.04862267408467,86.4,-436.200999040916,0.365,-159.213364649934
160,2.31E+04,444.60 ,10990000.00 ,6.43E+06,4.45E+06,2.18E+07,4.37E+07,0.0000317098 ,3.117 ,41147788.7369339,1,0.075,-941.339878234399,86400,35.7185666119218,-905.621311622478,86.4,-78245.6813241821,0.365,-28559.6736833265
